UnitCode,UnitName,Faculty,LocationAndTime,CreditPoints,EFTSL,Preqs,Proh,SCABand,Sypnosis
FIT1002,Computer programming,Faculty of Information Techonology,"[[['South Africa'], ['Summer semester B (starts January) 2017 (Day)']]]",6,0.125,,"CPE1001, CSE1202, GCO1811, MMS1801, MMS1802",2,"This unit will provide students with an overview of programming and its role in problem-solving and strategies for meeting user requirements and for designing solutions to programming problems. The fundamental programming concepts of the memory model, data types, declarations, expressions and statements, control structures, block structure, modules, parameters and input and output will be applied within the context of objects, attributes, methods, re-use, information-hiding, encapsulation and message-passing. Software engineering topics include maintainability, readability, testing, documentation and modularisation."
FIT1003,IT in organisations,Faculty of Information Techonology,"[[['South Africa'], ['First semester 2017 (Day)', 'Second semester 2017 (Day)']]]",6,0.125,,"CSE1204, ELC1000, IMS1704, BUS1021, CPE1006",2,"The unit will provide students with an introduction and broad overview of the application of IT to the management of information in organisations, and the role of the IT professional in developing and implementing IT-based solutions to information problems. The discussion of the organisational framework for IT and IT professional practice will be set within its broader social context. The opportunities, problems and risks associated with IT will be examined, together with their implications for the rights and responsibilities of IT professionals."
FIT1006,Business information analysis,Faculty of Information Techonology,"[[['Clayton'], ['First semester 2017 (Day)']]]",6,0.125,A study score of 25 in VCE Mathematics Methods or Specialist Maths units 3 & 4 or 30 in Further Maths units 3 & 4 or MTH1010 or equivalent,"BUS1100, ETC1000, ETF1100, ETP1100, ETS1102, ETW1000, ETW1102, ETX1100, MAT1097, STA1010, SCI1020",2,"This unit is designed to give students an introduction to statistical and quantitative methods within a business-related framework and to provide students with a sound foundation for more advanced statistical and quantitative studies. The unit will provide opportunities for the student to gain skills in the presentation of business and economic data, the use of frequency distributions, measures of central tendency and dispersion, principles of probability, use of probability distributions, sampling theory, estimation, hypothesis testing, regression analysis, the use of indices and forecasting methods."
FIT1008,Introduction to computer science,Faculty of Information Techonology,"[[['Clayton'], ['First semester 2017 (Day)', 'Second semester 2017 (Day)']], [['Malaysia'], ['First semester 2017 (Day)', 'Second semester 2017 (Day)']]]",6,0.125," ((One of FIT1040, ECE2071, FIT1002) and FIT1029) or FIT1045Students beginning FIT1008 are assumed to be able to: Identify the main components of an algorithm (variables, operators, expressions, etc), and write the algorithm associated to the specification of a simple problem. Be able to translate a simple algorithm into a program containing variable declarations, selection, repetition, and lists and/or arrays.","CSE1303, CSC1030, FIT1015, FIT2085",2,"This unit introduces students to core problem-solving, analytical skills, and methodologies useful for developing flexible, robust, and maintainable software. In doing this it covers a range of conceptual levels, from high-level algorithms and data-structures, down to the machine models and simple assembly language programming. Topics include data types; data structures; algorithms; algorithmic complexity; recursion; and translation to assembly language."
FIT1013,Digital futures: IT for business,Faculty of Information Techonology,"[[['Clayton'], ['Second semester 2017 (Day)']]]",6,0.125,,"BUS1010, CSE1720, GCO1851, MMS1401",2,"Introduction to business application tools and introduction to basic computing concepts. Principles of spreadsheets and relational databases, covering their use for the generation of business plans, reports, financial statements, etc. Both the spreadsheet and database components incorporate an introduction to programming with visual basic for applications (VBA). The database component covers principles of database design. The business application software packages used in the unit are Microsoft Excel and Microsoft Access."
FIT1031,Computers and networks,Faculty of Information Techonology,"[[['South Africa'], ['Summer semester B (starts January) 2017 (Day)']]]",6,0.125,,"FIT1001, FIT1047",2,"This unit introduces students to fundamentals of computer systems and networks. It provides basic knowledge of computer organisation and architecture, operating systems, and networking architecture, technology and operation."
FIT1033,Foundations of 3D,Faculty of Information Techonology,"[[['Clayton'], ['First semester 2017 (Day)']], [['Malaysia'], ['First semester 2017 (Day)', 'October intake 2017 (Day)']]]",6,0.125,,"FIT2015, DIS1911",2,"This unit is an introduction to the techniques, frameworks and processes comprising 3D modelling and 3D imaging. Foundations of 3D aims to give students an understanding of 3D modelling by developing skills in 3D model creation for a variety of contexts, including 3D prototyping, 3D visualisation and 3D modelling for games and animation. Students will communicate their knowledge of 3D theory through the production of designs that demonstrate geometrical modelling, texture mapping, virtual lighting techniques, camera positioning, and rendering procedures."
FIT1040,Digital futures: adventures in programming,Faculty of Information Techonology,"[[['Clayton'], ['First semester 2017 (Day)']]]",6,0.125,,"FIT1045, FIT1048, FIT1051, FIT1002. Note that FIT1040 can only be completed prior to FIT1045, FIT1048 and FIT1051 or equivalent.",2,"This unit will provide students with an overview of the fundamentals required to create programs. Students will learn to develop descriptions of algorithms and program logic using pseudocode which will be implemented as working software programs using a visual procedural programming language. The unit will explore a variety of application domains including: computer games, business and science applications, computer generated arts, computer-based simulations and the control of simple robots. The topics covered will include the fundamental concepts: data types and structures, basic types of input and output, program control structures, and modular design along with the basics of event-driven programming and objects. These topics will be covered while placing an emphasis on the need to design program code that is easy to maintain, read, test, and is well documented."
FIT1041,Research project 1,Faculty of Information Techonology,"[[['Clayton'], ['Second semester 2017 (Day)']]]",6,0.125,Enrolment in course C3001,,2," This unit introduces students to the research activities occurring in the Faculty of Information Technology. It provides an opportunity to conduct a hands-on project in an area of interest to the student and to experience what it is like to be a member of a research team.At the start of the semester the student will be assigned to one of the Faculty's research groups and assigned an academic supervisor and a project topic. Students may work individually or in groups, as determined by the supervisor of a particular topic. During the semester the student will be required to participate in research group events including seminars and presentations."
FIT1043,Introduction to data science,Faculty of Information Techonology,"[[['Clayton'], ['Second semester 2017 (Day)']], [['Malaysia'], ['Second semester 2017 (Day)']]]",6,0.125, VCE Mathematics Methods or Specialist Mathematics units 3 & 4 with a study score of 25 or MTH1010.Note: For 2016 Further Mathematics with a study score of 35 will be accepted.,FIT5145,2,"This unit looks at processes and case studies to understand the many facets of working with data, and the significant effort in Data Science over and above the core task of Data Analysis. Working with data as part of a business model and the lifecycle in an organisation is considered, as well as business processes and case studies. Data and its handling is also introduced: characteristic kinds of data and its collection, data storage and basic kinds of data preparation, data cleaning and data stream processing. Curation and management are reviewed: archival and architectural practice, policy, legal and ethical issues. Styles of data analysis and outcomes of successful data exploration and analysis are reviewed. Standards, tools and resources are also reviewed."
FIT1044,Mobile communications 1,Faculty of Information Techonology,"[[['South Africa'], ['Second semester 2017 (Day)']]]",6,0.125,,,2,"This unit introduces the basic concepts and knowledge of mobile communication and mobile computing, and the principles of pervasive and ubiquitous computing. Mobiles in this unit does not only refer to phones, but to any connected artifact that is not fixed to a location. The Internet-of-Things is an important aspect. Themes covered include the evolution of wireless communication technology, and the nature and types of mobile devices and smart clients. Fundamental operational concepts of wireless communication, mobile data, mobile operating systems and mobile applications will be introduced. An overview of mobile standards and protocols will be covered, as well as an introduction to wireless languages."
