UnitCode,UnitName,Faculty,LocationAndTime,CreditPoints,EFTSL,Preqs,Proh,SCABand,Sypnosis
LAW1101,Introduction to legal reasoning,Faculty of Law,[],6,0.125,,"LAW7212, LAW1100",3,"The unit begins by examining the foundation and structure of the institutions and processes of the Australian legal system. This introduces the sources of authoritative law - statutes, delegated legislation and judicial precedents.  A substantial portion of the study of the Australian legal system will examine how judges use precedents and interpret legislation. We will use a series of cases from a selected area of law to study how the content of common law changes within the constraints of the doctrine and practice of precedent. Students will assess the influence of social change in the development of the common law."
LAW1104,Research and writing,Faculty of Law,[],6,0.125,LAW1101,,3,"There are two components taught concurrently. The Writing component will teach basic skills in legal writing, with an emphasis on the types of writing required for assessment in other law units, including research essays and answers to legal problems. The Research component will provide students with the essential skills to undertake research tasks required for their law studies. Students will learn to analyse a research problem into searchable components; locate and update Australian and foreign primary and secondary materials by using online and hard copy library research tools; use and cite references correctly, and evaluate the relevance and authoritative status of legal materials."
LAW1111,Foundations of Law,Faculty of Law,"[[['Clayton'], ['First semester 2017 (Day)', 'Second semester 2017 (Day)']]]",6,0.125,,,3,"The unit examines the foundation and structure of the institutions and processes of the Australian legal system, including legal practice as a distinctive element within the Australian legal process.  It introduces the sources of authoritative law - statutes, delegated legislation and judicial precedents.  A case series is used to demonstrate the evolution of the common law within the constraints of the doctrine and practice of precedent.  The unit provides foundational knowledge and skills in the interpretation of judicial precedents and legislation and their application in legal problem-solving.  Students develop fundamental skills in legal research and legal writing."
LAW1112,Public law and statutory interpretation,Faculty of Law,"[[['Clayton'], ['First semester 2017 (Day)', 'Second semester 2017 (Day)']]]",6,0.125, For students who commenced their LLB (Hons) course in 2015 or later:Students in LLB(Hons)/BE(Hons) (L3002):LAW1111 Foundations of LawAll other single or double degree LLB(Hons) students:LAW1111 Foundations of LawLAW1114 Criminal Law 1,,3,"The unit will introduce the basic principles of public law, government and statutory interpretation in Australian law.  The unit will investigate the range of legal devices whereby Australia is governed, and will introduce key ideas pertaining to public legal entities, including the Crown.  Fundamental principles of public law will be considered, together with the broader contexts in which they arise and operate.  So will fundamental, constitutional relationships between each of Parliament, the executive and the judiciary.  The unit will also deal with statutory interpretation in depth, beginning with the fundamental constitutional principle of parliamentary supremacy, and exploring how the rules and principles of statutory interpretation flow from an understanding of the constitutional relationship between Parliament and the judiciary."
LAW1113,Torts,Faculty of Law,"[[['Clayton'], ['First semester 2017 (Day)', 'Second semester 2017 (Day)']]]",6,0.125,For students who commenced their LLB (Hons) course in 2015 or later:  LAW1111 and LAW1114,,3,"The unit commences with an introductory study of the role and objectives of torts law in redressing and compensating civil wrongs, and its relationship with statutory compensation schemes. Students examine the intentional torts of false imprisonment and, trespass to land, the strict liability tort of and nuisance, and the unintentional tort of negligence. There is a detailed study of the elements of the tort of negligence - namely, duty of care, breach of duty, causation, defences and the assessment of damages - and the particular problems raised by negligently caused mental harm and pure economic loss. Students will also consider the principles and rationale of vicarious liability. Throughout the unit, students will explore the impact of statutory law reform, in particular the civil liability reforms, on torts law, in the broader context of how civil wrongs should be redressed."
LAW1114,Criminal law 1,Faculty of Law,"[[['Clayton'], ['First semester 2017 (Day)', 'Second semester 2017 (Day)']]]",6,0.125,,,3,"The unit introduces the general doctrines, principles and aims of the criminal law and criminal justice system, introduces the roles of civil and criminal laws in relation to harms to the person, and examines the law relating to fatal and non-fatal offences against people. It analyses sentencing and access to compensation for victims of crime."
LAW2001,Law in professional contexts,Faculty of Law,"[[['Clayton'], ['Second semester 2017 (Day)']]]",6,0.125,"48 credit points completed in a bachelor degree course. This unit has a quota and selection process. Please note that there is an application form for this unit, available at: http://www.law.monash.edu.au/current-students/resources/forms/index.html", LAW1101 - Introduction to legal reasoningLAW1104 - Research and writingHSC3001 - Health law and ethicsBTH2012 - Biotechnology regulation law and ethicsNUR1202 - Legal issues and concepts,3,"This Unit provides an overview of fundamental legal concepts, principles and institutions which affect professionals across disciplines. Working individually and in groups, students will research and communicate information about current legal issues as applied to their selected profession or discipline."
LAW2101,Contract A,Faculty of Law,"[[['Clayton'], ['First semester 2017 (Day)']]]",6,0.125,,For students who commenced their LLB course prior to 2015: LAW2100,3,"Contract law addresses the concepts, principles and rules used to determine the existence and content of binding promises and their enforcement or defeasibility in a market economy. It also involves a consideration of the underlying policy considerations. Contract law is taught in two units: Contract A and Contract B. Contract A covers the introduction to contract law, the formation of contracts (including capacity and formalities), privity of contract, estoppel, and the incorporation, construction and validity of contractual terms."
LAW2102,Contract B,Faculty of Law,"[[['Clayton'], ['Second semester 2017 (Day)']]]",6,0.125, For students who commenced their LLB (Hons) course in 2015 or later: LAW1111; LAW1114; LAW2101 and LAW2112For students who commenced their LLB course prior to 2015: LAW1100 OR LAW1101 and LAW1102 or LAW1104; LAW2101,For students who commenced their LLB course prior to 2015: LAW2100,3,"Contract law addresses the concepts, principles and rules used to determine the existence and content of binding promises and their enforcement or defeasibility in a market economy. It also addresses the underlying policy considerations. Contract B builds upon Contract A, which covers the formation and terms of a contract. Contract B covers the performance of contracts, the discharge of contracts by termination or frustration, legal and equitable remedies for breach of contract, and vitiating factors under the unwritten law and statute."
LAW2111,Constitutional law,Faculty of Law,"[[['Clayton'], ['First semester 2017 (Day)', 'Second semester 2017 (Day)']]]",6,0.125, For students who commenced their LLB (Hons) course in 2015 or later:Single degree LLB Hons students:LAW1111 Foundations of LawLAW1114 Criminal Law 1LAW2101 Contract ALAW1113 TortsDouble degree LLB Hons students:LAW1111 Foundations of LawLAW1114 Criminal Law 1LAW1112 Public Law and Statutory InterpretationLAW2112 Property ALAW2101 Contract ALAW1113 TortsFor students who commenced their LLB course prior to 2015:LAW1100 or LAW1101 and LAW1102 or LAW1104,For students who commenced their LLB course prior to 2015: LAW3200,3,"The unit examines the Victorian and Commonwealth Constitutions; advanced principles regarding separation of judicial powers at State and Commonwealth levels; Australian federalism and inter-governmental relations, including the distribution of legislative and fiscal powers between the Commonwealth and the States, inconsistency of laws, and intergovernmental immunities; some principal Commonwealth legislative powers; limitations on governmental power, including selected express and implied constitutional rights and freedoms, and critical analysis of techniques and principles of constitutional interpretation."
