UnitCode,UnitName,Faculty,LocationAndTime,CreditPoints,EFTSL,Preqs,Proh,SCABand,Sypnosis
ASC5001,Addiction science: A biopsychosocial overview,"Faculty of Medicine, Nursing and Health Sciences","[[['Clayton'], ['First semester 2017 (Online)']]]",12,0.250,,,2,"This unit provides an introduction and overview to addiction as a concept and the factors that contribute to addiction. Consideration is given to the biological, psychological, developmental, sociocultural and environmental factors that may contribute to the development of addiction. It will provide in-depth consideration of theories of addiction and resulting models, and will offer critical discourse around the use of the term. Similarly, measurement issues for addiction and dependence will be reviewed and critically analysed including the policy and media uses of 'addiction' and related terms. The topics addressed will also include aetiological issues and developmental issues around substance use and the onset of problems. The concluding topic will be around the experiential effects of substance use and the model of 'drug, set and setting' with implications for the development of a biopsychosocial model. The assessments are designed to assess the student's ability to summarise and critically review the evidence and underlying conceptual models of addiction and the extension of the term beyond substance use to include process addictions such as gambling. The unit will also examine the issue of stigma and its relationship to language and professional descriptions of addictive behaviours. Students completing the module should be able to summarise the key theoretical models of addiction, issues around the utilisation of the term and related issues of stigma and have developed the necessary critical conceptualisations of addiction theory to undertake further Masters level study in this area."
ASC5002,Socio-cultural perspectives of addiction,"Faculty of Medicine, Nursing and Health Sciences","[[['Clayton'], ['First semester 2017 (Online)']]]",12,0.250,,,2,"This unit explores trends in the use of particular substances and behavioural addictions, including historical precedents, in Australia and other countries. Addiction will be considered with particular reference to special population groups such as people with co-occurring mental health conditions, indigenous populations, youth, older adults, GLBTI groups and transcultural communities. The aim of the module will be to review social norms and expectations, and consider the bases for stigma and discrimination, and mechanisms for destigmatising drug use in these populations.This unit will be taught through distance education and include topics such as: History of alcohol, other drug use and behavioural addictions in Australia and Internationally Social, political and economic factors that affect addiction Addiction and views of addiction in relation to special population groups including Indigenous populations Youth Older Adults GLBTI communities Culturally and linguistically diverse communitiesThe materials for this unit will be provided by academic and clinical staff with specialist knowledge of their special population group(s) and include the most recent literature pertaining to these groups. Where possible, input (for example, case studies or stories) from the 'lived experience' of people representing these special population groups will be provided for students."
ASC5003,"Addiction policies, prevention and public health","Faculty of Medicine, Nursing and Health Sciences","[[['Clayton'], ['Second semester 2017 (Online)']]]",12,0.250,,,2,"This unit considers the socio-historical precedents of drug policy and the public health responses to drug use.It aims to compare and contrast the differences seen in policy and public health measures employed around the world and the results of these measures.The roles of alcohol and drug regulation and legislation, illicit drug supply and demand reduction, alcohol price and availability, and prescription drug availability and monitoring will be addressed.It will assess the effectiveness of different forms of intervention at individual, group and population level, including prevention, harm minimisation and treatment, in managing problem use.The unit will be taught through distance education and include topics such as: Epidemiology and addiction Policy responses to drug use Population level prevention activities Effectiveness of primary and secondary public health measures in response to tobacco, alcohol, & other licit drugs Illicit drugs Gambling (& other process addictions)The materials for this unit will be provided by academic staff with specialist knowledge of population based research in the addiction field and its translation to public health policy, and will include the most recent research in this area."
ASC5004,Addiction assessment and treatment: Practice and innovation,"Faculty of Medicine, Nursing and Health Sciences","[[['Clayton'], ['Second semester 2017 (Online)']]]",12,0.250,ASC5001 (only to apply to students enrolled in course 4519). Students enrolled in course 0099 do not need to complete ASC5001.,,2,"This unit explores the range of evidence based treatment approaches to addiction from pharmacotherapy approaches such as withdrawal management to psychosocial interventions like Cognitive Behavioural Therapies, and social solutions such as peer support. Students will be provided with a rationale for alcohol, drug and gambling treatment and an overview of the effectiveness of a range of treatment interventions for alcohol, licit and illicit drugs and for gambling. They will consider the evidence about what works, for whom, in what situations."
ASC5007,Recovery principles,"Faculty of Medicine, Nursing and Health Sciences","[[['Clayton'], ['Second semester 2017 (Online)']]]",12,0.250,,,2," Recovery is a new area of research within the fields of addiction and mental health but one that has gained considerable policy and practice debate in the US, UK and Australia, and that is closely linked to the desistance movement in criminal justice.  This unit explores what is known so far, what the key issues are in this area, and arguments around the definition of recovery, and the merits of a recovery approach, with its origins in positive psychology, mutual aid and the patient empowerment movement. The aim of the unit is to introduce the concepts and philosophy of recovery, the evidence base as it stands to date and the challenges it poses to current interpretations of existing models, in particular expert-driven treatment.Students completing this unit should be able to argue for their own conceptualisation of recovery in light of available evidence, and apply their view of recovery to current policy and practice. They will also be able to critically appraise the risks and benefits of a recovery model and be able to outline its impact for addiction, criminal justice and mental health policy and practice."
ASC5008,Co-occurring disorders in mental health and addiction,"Faculty of Medicine, Nursing and Health Sciences",[],12,0.250,ASC5004.,,2," This unit provides an overview of the key considerations for clinicians, policy makers, researchers and service providers working with individuals who have a co-occurring disorders (i.e. alcohol or drug disorders that exist alongside mental health or physical health disorders). It will present the latest research findings on effective identification, management and treatment of this complex challenging population. Emphasis will be on disorders that commonly co-exist alongside drug and alcohol disorders, including alcohol and anxiety/depression, tobacco/alcohol and cardiovascular disease, acquired brain injury, intravenous drug use and infectious diseases as well as misuse of licit and illicit substances among individuals with severe mental illness, such as cannabis and schizophrenia. Whilst the unit encourages critical appraisal of the major theoretical concepts, it adopts a more applied approach including an introduction to the principles of case-formulation and the development of treatment plans.Unit topics will include taxonomy and definitions of co-occurring disorders, prevalence and common co-occurring conditions, and will examine the multi-axial needs and unique challenges of working with this population. The module will look at conceptual models in relation to the aetiology of co-occurring disorders, methods of detection, screening and assessment as well as models of treatment and service delivery. The module will also examine the evidence for the effectiveness of population and service responses, as well as the role of motivational interviewing, cognitive behavioural therapy and mutual aid groups, in managing this population, including specifically-tailored psychosocial interventions. Evidence for medical management of this population will be explored, including pharmacological approaches."
ASC5009,"Developmental factors: Children and families, youth and early interventions","Faculty of Medicine, Nursing and Health Sciences","[[['Clayton'], ['First semester 2017 (Online)']]]",12,0.250,,,2," This unit begins with a focus on child and adolescent biopsychosocial development followed by an overview of the prevalence and patterns of substance use and other addictive behaviours in these populations.This will form the basis for an exploration of substance use and other addictive behaviours through the life course including emerging and older adulthood.It will also form the basis for understanding influences of family and social contexts on youth addiction such as the impacts of parental substance use, trauma and disadvantage.Topics covered in this unit include an examination of youth-focused prevention, early intervention and treatment initiatives. The evidence for school-based interventions, family focused interventions and youth-focused treatment services will be also evaluated and critiqued.Finally, in-depth consideration will be given to government policies relevant to youth addiction including those pertaining to social media."
ASC5010,Gambling and other process addictions,"Faculty of Medicine, Nursing and Health Sciences",[],12,0.250,,,2,"This subject will define and present the latest research in the aetiology, maintenance, treatment and recovery from gambling and other process addictions. Process addictions involve dependence to certain mood-altering behaviours, such as gambling, eating disorders, sexual activity, the internet or gaming and shopping/hoarding behaviours. While the main focus of this subject will be on problem gambling, the generalisation of underlying principles to other problem behaviours will be described and discussed. Some of the areas to be covered in this unit include; definitions and features of behavioural addictions, prevention and treatment programs for behavioural addictions and public health issues."
BEH1032,"Evidence based practice, research and population health in community based emergency health services","Faculty of Medicine, Nursing and Health Sciences",[],6,0.125,,,2,"This unit introduces population health, public health and primary health care principles to the analysis of community based emergency health (CBEH). Population health principles are applied to illness prevention and health promotion. The use of health datasets in population and public health is also discussed. The basis of science, knowledge and evidence is explored along with the principles and use of evidence-based practice in the CBEH setting. Students are encouraged to develop their capacity for enquiry, research, critical thought, critical appraisal and analysis through the semester. Information technology is used to access and interrogate the multitude of health datasets."
BEH1041,Human development and health across the lifespan,"Faculty of Medicine, Nursing and Health Sciences",[],6,0.125,,,2,"This unit uses the framework of human development throughout the lifespan to identify health and, specifically, emergency health issues at various stages of the lifespan. Students will investigate the roles of paramedics and allied health professionals in assessing human development and maintaining health across the lifespan and will explore issues relating to death and grieving. Included in this unit will be clinical visits to selected agencies to provide clinical context to the theoretical background."
