UnitCode,UnitName,Faculty,LocationAndTime,CreditPoints,EFTSL,Preqs,Proh,SCABand,Sypnosis
ANT1800,Introduction to anatomy and medical terminology,Faculty of Sciences,"[[['Malaysia'], ['Second semester 2017 (Day)']]]",6,0.125,, ANT2331Note that students who commenced the BSc(MedBioSci) prior to 2015 are supposed to take ANT2331 and will need to obtain approval for the ADE to substitute ANT1800 for ANT2331.,2,"This unit covers human anatomy in its broadest sense; to explore and understand structure and function at the macroscopic, microscopic (histological) and developmental (embryological) levels. Topographic studies will cover the morphology and organisation of the musculoskeletal system, the cardiovascular system, the respiratory system, the digestive system, urinary system, endocrine system, nervous system and reproductive system. Histology studies will correlate microscopic structure with function; beginning with the cell, moving on to the four primary tissue types and following up with systems-based histology where relevant. Embryology will help in understanding human development; beginning with fertilization and following up through the development of organ-body systems, with emphasis on mechanisms regulating normal development and organisation of the body. The unit encompasses familiarisation and usage of anatomical and medical terminology. Skills in practical observation, identification and communication will be encouraged as well as the ability to source for information through effective use of IT."
ASP1010,Earth to cosmos - introductory astronomy,Faculty of Sciences,"[[['Clayton'], ['First semester 2017 (Day)']]]",6,0.125,No formal background in astronomy or astrophysics is required.,ASP1010 can only be completed prior to ASP2011 and ASP2062,2,"This unit focuses on concepts that will allow students to gain understanding of key astrophysical phenomena. The topics covered include the night sky, the historical development of astronomical knowledge, our solar system, comets and asteroids, the sun, exoplanets, other stars, stellar remnants such as black holes, the Milky Way, other galaxies, quasars, dark matter, and cosmology in general."
ASP1022,Life in the universe - astrobiology,Faculty of Sciences,"[[['Clayton'], ['Second semester 2017 (Day)']]]",6,0.125,No formal background in astronomy or astrophysics is required.,,2,"This unit focuses on understanding astronomical, geological, chemical, biological and technological conditions necessary for primitive and intelligent life. The topics covered include: stellar and planetary formation, dynamics of planetary orbits, detection and properties of extrasolar planets, habitability, chemical and biological characteristics of life, how life first appeared on the Earth and how life depends on energy from the stars, probabilities of life forming on other planets, artificial life and artificial intelligence, interstellar travel and colonisation, the fate of the Universe and the implications for any life present."
ASP2011,Astronomy,Faculty of Sciences,"[[['Clayton'], ['First semester 2017 (Day)']]]",6,0.125,"One unit (six points) of physics at first-year level, and MTH1020 or MTH1030 or MTH1035 or ENG1005 or equivalent",,2,"An introduction to modern astronomy, with an emphasis on using astronomical observations to understand the evolution of stars, galaxies and the Universe. Students are introduced to the night sky and how to navigate around it using astronomical coordinates. The design, performance and use of visible and radio wavelength telescopes is discussed in detail, including imaging and spectroscopy. Visible and radio wavelength observations will be interpreted to determine the distances, masses, ages and evolution of stars and galaxies. Practical work in workshops is a key component of this unit, including an astronomical observing session and analysis of data from major observatories."
ASP2062,Introduction to astrophysics,Faculty of Sciences,"[[['Clayton'], ['Second semester 2017 (Day)']]]",6,0.125,"One unit (six points) of physics at first-year level, and MTH1030 or MTH1035 or ENG1005 or equivalent",,2,"An introduction to contemporary astrophysics, with a focus on the range of physical processes which shape the universe and the objects within. Students will study the generation, propagation and absorption of radiation; processes of star and planet formation; celestial mechanics; accretion disks; the sun; interiors of stars and nucleosynthesis; post main sequence evolution; degeneration remnants; the Milky Way; the structure of galaxies; active galaxies; particles and cosmic rays.  Laboratory work will include analytic and computer-based exercises, involving research-grade data and numerical codes."
ASP3012,Stars and galaxies,Faculty of Sciences,"[[['Clayton'], ['Second semester 2017 (Day)']]]",6,0.125,"One of MTH2010 or MTH2015, plus MTH2032, or ENG2005 and MTH2040",,2,Stellar photometry; observing the stars; star formation; equation of state; reduced equations of stellar structure; polytropic stellar models; full equations of stellar structure; the main sequence; post-main-sequence evolution. Galactic morphology and stellar content; elliptical and spiral galaxies; large-scale structure of the Milky Way; dark matter; potential theory; galactic dynamics-orbits in spherical and axisymmetric potentials. Astronomical data reduction.
ASP3051,Relativity and cosmology,Faculty of Sciences,"[[['Clayton'], ['First semester 2017 (Day)']]]",6,0.125," One of MTH2010,MTH2015 or ENG2005Recommended units: MTH2032 or MTH2040",,2,"Newtonian physics and Einstein's Special Theory of Relativity, the geometry of space-time, the Minkowski metric, Lorentz transformations, k-calculus, and four-vectors; the physics of space-time, momentum and energy; classical paradoxes; other metrics, Black Holes; observation of the Universe relevant to Cosmology; the expansion of the Universe, the Cosmic Background Radiation; the evolution of the Universe, propagation of light; primordial elements and recent observations."
ASP3162,Computational astrophysics and the extreme universe,Faculty of Sciences,"[[['Clayton'], ['Second semester 2017 (Day)']]]",6,0.125, ASP2062 and one of MTH2010 or MTH2015 orENG2005 and one of MTH2032 or MTH2040.,,2," In this unit students will learn the basic principles of astrophysical fluid dynamics and how it can be used to model the most extreme events in the universe. The unit covers the basic equations of compressible hydrodynamics, including the behaviour of linear waves, the transition to shocks and the behaviour of fluids at high Mach number. Students will apply this to understand the physical processes that power accreting sources including white dwarfs, neutron stars and black holes, and the physics behind the explosion of stars as supernovae. Students will gain practical experience in computational fluid dynamics including basic programming skills and an understanding of how large scale astrophysical simulations are performed.Students will also learn about high-energy observational techniques of supernova remnants and compact objects and statistical approaches for inference-based interpretation of high-energy observational data."
ASP3231,Observational astronomy,Faculty of Sciences,"[[['Clayton'], ['First semester 2017 (Day)']]]",6,0.125,"One of ASP2011, PHS2011, PHS2022, PHS2061, PHS2062 or PHS2081.",,2,"This unit gives students theoretical background and practical experience in modern observational astronomy. ASP3231 students study telescope optics, spectroscopy, CCD imaging, image processing, statistics, astronomical distances, stellar evolution, extra-solar planets, neutron stars and galaxies. An observational project, including an astronomical observing session and analysis of the observations, comprises a substantial component of ASP3231."
ASP4100,Astrophysics honours research project,Faculty of Sciences,"[[['Clayton'], ['Full year 2017 (Day)', 'Second semester 2017 to First semester 2018 (Day)']]]",24,0.500,Admission to honours in the discipline of Astrophysics,ASP4110 and ASP4120,2,Students are required to complete a research project involving original work on a topic chosen in consultation with their academic supervisor.
ASP4110,Astrophysics honours research project - Part 1,Faculty of Sciences,"[[['Clayton'], ['Full year 2017 (Day)', 'Second semester 2017 to First semester 2018 (Day)']]]",12,0.250,Admission to Honours in the discipline of Astrophysics,ASP4100,2," ASP4110 and ASP4120 together, are equivalent to ASP4100 but they enable students to study part time by allowing completion of the work over a longer time period.Students are required to complete the first part of a research project involving original work on a topic chosen in consultation with their academic supervisor."
ASP4120,Astrophysics honours research project - Part 2,Faculty of Sciences,"[[['Clayton'], ['Full year 2017 (Day)', 'Second semester 2017 to First semester 2018 (Day)']]]",12,0.250,ASP4110,ASP4100,2," ASP4110 and ASP4120 together, are equivalent to ASP4100 but they enable students to study part time by allowing completion of the work over a longer time period.Students are required to complete the first part of a research project involving original work on a topic chosen in consultation with their academic supervisor."
ASP4200,Astrophysics honours coursework,Faculty of Sciences,"[[['Clayton'], ['Full year 2017 (Day)', 'Second semester 2017 to First semester 2018 (Day)']]]",24,0.500,Admission to honours in the discipline of Astrophysics,ASP4210 and ASP4220,2,"ASP4200 is a level four unit in the Honours Program of the Bachelor of Science course. The unit comprises six approved lecture topics which students can choose from those offered in the Honours Handbook of the School of Mathematical Sciences. These provide advanced instruction in Astrophysics and related fields, and support for students wishing to develop a career in research."
ASP4210,Astrophysics honours coursework part 1,Faculty of Sciences,"[[['Clayton'], ['Full year 2017 (Day)', 'Second semester 2017 to First semester 2018 (Day)']]]",12,0.250,Admission to Honours in the discipline of Astrophysics,ASP4200,2," ASP4210 and ASP4220 together, are equivalent to ASP4200 but they enable students to study part time by allowing completion of the work over a longer time period.Students are required to select three sub-units (covering advanced coursework topics) from offerings within the School of Physics and Astronomy. These sub-units are to be selected in consultation with the student's academic supervisor. Some subunits may be chosen from outside the School - with permission from the honours coordinator.Students will also complete a literature review related to the research project component of their honours course."
ASP4220,Astrophysics honours coursework part 2,Faculty of Sciences,"[[['Clayton'], ['Full year 2017 (Day)', 'Second semester 2017 to First semester 2018 (Day)']]]",12,0.250,ASP4210,ASP4200,2," ASP4210 and ASP4220 together, are equivalent to ASP4200 butthey enable students to study part time by allowing completion of the work over a longer time period.Students are required to select three sub-units (covering advanced coursework topics) from offerings within the School ofPhysics and Astronomy. These sub-units are to be selected in consultation with the student's academic supervisor. Some subunitsmay be chosen from outside the School - with permission from the honours coordinator.Students will also complete a literature review related to the research project component of their honours course."
ATM3040,Physical meteorology,Faculty of Sciences,"[[['Clayton'], ['First semester 2017 (Day)']]]",6,0.125,ATM2030,ATM3010,2,"Physical meteorology examines the major physical forces that affect the behaviour of the atmosphere, specifically radiative transfer and precipitation. The radiative transfer section focuses on the scattering, absorption and emission of radiant energy within the atmosphere and how this knowledge is exploited by remote satellite and ground-based instrumentation. The cloud microphysics section focuses on the development of precipitation, as well as the interaction between clouds and aerosols."
ATM3050,Dynamical meteorology,Faculty of Sciences,"[[['Clayton'], ['Second semester 2017 (Day)']]]",6,0.125,MTH2010 or MTH2015. Recommended: ATM2020 and ATM2030.,,2,"The motion of a density-stratified fluid in a rotating frame of reference; important parameters and their magnitudes; 'homogeneous flows' in the atmosphere and ocean; shallow-water and Rossby-wave motion; western boundary currents; gradient-wind balance and vortex motion; dynamics of stratified fluids, including stability, blocking, internal gravity waves and thermal-wind balance."
BCH2011,Structure and function of cellular biomolecules,Faculty of Sciences,"[[['Clayton'], ['First semester 2017 (Day)']]]",6,0.125,12 points of level one chemistry or level one biology; OR BMS1011; OR CHE2165 and CHM2735. Recommended: VCE Chemistry if Chemistry is not taken at University.,BTH2741,2,"This unit focuses on the action of major classes of biomolecules in biologically and medically relevant systems. Protein structure is  related to function in contexts such as blood cells and extracellular matrix. The folding of proteins and the consequences of misfolding, as a cause of disease, are also explored. The mechanism of action of enzymes in medically important systems is examined. Carbohydrates and lipids are examined in the context of their function in diverse cellular compartments and biological membranes, respectively. The techniques used to isolate and study proteins, including their analysis using the tools provided by the new science of bioinformatics, are explored."
BCH2022,Metabolic basis of human diseases,Faculty of Sciences,"[[['Clayton'], ['Second semester 2017 (Day)']]]",6,0.125,BMS1011 or BCH2011,"BTH2757, BMS2021",2,"A general outline of cellular metabolism is provided. The material presented will illustrate normal metabolic pathways and their dysfunction in various human diseases and conditions including diabetes, alcoholism, starvation, glycogen storage diseases and juvenile developmental problems. The biochemical basis of hormonal regulation and nutrition, in both famine and disease, is presented."
BCH3021,Cellular organisation: Organelle structure and function in health and disease,Faculty of Sciences,"[[['Clayton'], ['First semester 2017 (Day)']]]",6,0.125,"One of BCH2011, BCH2022, BMS2021, MOL2011 or MOL2022 or MCB2011 OR MCB2022",BTH3741,2,"This unit provides an advanced understanding of the structure-function of the individual structural organelles and components of the cell in the context of cell biology and disease processes. Topics include the cytoskeleton, the formation of the membranes, the intra-cellular trafficking of proteins, the cellular internalization/export of proteins. Over-riding themes of this subject are: to view the cell as a dynamic unit composed of a series of interacting organelles to understand the cell as a semi-independent biological entity in constant contact and communication with the extracellular environment and with other cells in multi-cellular organisms."
