"UnitCode","UnitName","Faculty","CreditPoints","EFTSL","Preqs","Proh","SCABand","Sypnosis",,,,,,,,,
"ADA1111","Design thinking","Faculty of Arts, Design and Architecture",6,0.125,"Nil","ADA3111",1,"Design Thinking applies the skills and strategies developed by designers to a wide range of problems and situations. These skills and strategies include a range of conceptual and communication approaches, ways to explore and reconsider the context in which we work, as well as what should or could be achieved. Design thinking brings together some approaches that are known in the sciences and humanities, such as analysis and synthesis, but applies them in ways that are particular to a design approach. Design thinking can enable a more flexible approach to problem solving, and a more nuanced engagement with the complex issues of our contemporary world. This unit will introduce students to the key skills and practices associated with design thinking, and offer opportunities to explore the application of these basic creativity techniques in a range of disciplines.",,,,,,,,,
"ADA2001","Interdisciplinary studio 1","Faculty of Arts, Design and Architecture",12,0.25,"OHS1000 and a pass in 24 credit points of studio unit at level 1"," enrolment in an approved Faculty award.  Students must obtain approval from their Course Coordinator.",,1,"The interdisciplinary studio environment provides through team-based project activities and problem-based learning, the application of knowledge, techniques and methodologies from the students' individual disciplines, whilst addressing a complex multi-faceted problem. The unit may involve any combination of art, design or architecture students. The ability to critically and creatively engage with 'real world' problems through interdisciplinary approaches will be the core of this unit. Students will develop skills in communication, collaboration and innovation, essential tools for both professional practice and research activities within their chosen field and beyond. The final outcomes from the unit may be collaborative or individual.",,,,,,,,
"ADA3001","Interdisciplinary studio 2","Faculty of Arts, Design and Architecture",12,0.25,"OHS1000 and a pass in 24 credit points of studio unit at level 2"," enrolment in an approved Faculty award.  Students must obtain approval from their Course Coordinator.",,1,"The interdisciplinary studio environment provides through team-based project activities and problem-based learning, the application of knowledge, techniques and methodologies from the students' individual disciplines, whilst addressing a complex multi-faceted problem. The unit may involve any combination of art, design or architecture students. The ability to critically and creatively engage with 'real world' problems through interdisciplinary approaches will be the core of this unit. Students will further develop skills in communication, collaboration and innovation, essential tools for both professional practice and research activities within their chosen field and beyond. The final outcomes from the unit may be collaborative or individual.",,,,,,,,
"ADA3111","Design thinking","Faculty of Arts, Design and Architecture",6,0.125,"Nil","ADA1111",1,"Design Thinking applies the skills and strategies developed by designers to a wide range of problems and situations. These skills and strategies include a range of conceptual and communication approaches, ways to explore and reconsider the context in which we work, as well as what should or could be achieved. Design thinking brings together some approaches that are known in the sciences and humanities, such as analysis and synthesis, but applies them in ways that are particular to a design approach. Design thinking can enable a more flexible approach to problem solving, and a more nuanced engagement with the complex issues of our contemporary world. This unit will introduce students to the key skills and practices associated with design thinking, and offer opportunities to explore the application of these basic creativity techniques in a range of disciplines.",,,,,,,,,
"ADA4001","Interdisciplinary studio 3","Faculty of Arts, Design and Architecture",12,0.25,"OHS1000 and a pass in 24 credit points of studio unit at level 2"," enrolment in an approved Faculty award.  Students must obtain approval from their Course Coordinator.",,1,"The interdisciplinary studio environment provides through team-based project activities and problem-based learning, the further application of knowledge, techniques and methodologies from the students' individual disciplines, whilst addressing a complex multi-faceted problem. The unit may involve any combination of art, design or architecture students. The ability to critically and creatively engage with research and 'real world' problems through interdisciplinary approaches will be the core of this unit. Students will further develop skills in communication, collaboration and innovation, essential tools for both professional practice and research activities within their chosen field and beyond. The final outcomes from the unit may be collaborative or individual.",,,,,,,,
"ADA4111","Design thinking advanced","Faculty of Arts, Design and Architecture",6,0.125,"ADA1111 or ADA3111 if taken as part of an undergraduate course"," ADA4500 if taken as part of a Masters' course",,1," This unit builds on ADA1111 or ADA3111 for students in undergraduate courses, and on ADA4500 for coursework Masters' students. The unit will extend students' individual understanding of Design Thinking approaches, supporting the development of valuable personal practices to inform new proposals relevant to students' interests and disciplines.  Students will explore skills that support design insight and innovation and will refine bespoke approaches to the resolution of project-based problems and explorations. Students will develop their ability to investigate context and to identify actionable opportunities, applying and refining Design Thinking principles to connect project potential to real-world opportunities.The unit highlights the 'opportunities of wickedness' in ill-defined design problems, and will focus on student development and application of communication tools that support the fruitful exploration of personal perspective.  Reflective practices focussing on the experience, engendering and application of conceptual momentum will be a key element of the unit.",,,,,,,,
"ADA4500","Design thinking approaches","Faculty of Arts, Design and Architecture",6,0.125,,"ADA1111, ADA3111",1,"This unit is developed to introduce non-cognate students in Masters courses to Design Thinking, and to its application within a wide range of problems and situations. These skills and strategies include a range of conceptual and communication approaches, ways to investigate and reconsider the context in which we work and live, as well as potential for innovation.  Design Thinking brings together some approaches that are known in the sciences and humanities, such as analysis and synthesis, but applies them in ways that are particular to a design approach.  Design Thinking can enable a more flexible approach to problems, and a more nuanced engagement with the complex issues of our contemporary world. This unit will introduce students to the key skills and practices associated with Design Thinking, and offer opportunities to explore the application of these basic creativity techniques. The course is delivered partly on-line, with lectures and workshops offering key activities supporting students' learning.",,,,,,,,,
"ADA5001","Interdisciplinary studio 4","Faculty of Arts, Design and Architecture",12,0.25,"OHS1000 and pass in 24 credit points of studio unit at level 2"," enrolment in an approved Faculty award.  Students must obtain approval from their Course Coordinator.",,1,"The interdisciplinary studio environment provides through team-based project activities and problem-based learning, the further application of knowledge, techniques and methodologies from the students' individual disciplines, whilst addressing a complex multi-faceted problem. The unit may involve any combination of art, design or architecture students. The ability to critically and creatively engage with research and 'real world' problems through interdisciplinary approaches will be the core of this unit. Students will further develop skills in communication, collaboration and innovation, essential tools for both professional practice and research activities within their chosen field and beyond. The final outcomes from the unit may be collaborative or individual.",,,,,,,,
"ADD5091","Research methods 1","Faculty of Arts, Design and Architecture",0,0,,,1,"Research Methods 1 introduces candidates to research design and methodology in the context of contemporary research, with particular emphasis on practice-based research. The unit is undertaken at the initial stages of the research degree and encourages the candidate to conceptualise their research project across theory and practice through a discursive engagement of the research and its field of inquiry.",,,,,,,,,
"ADD5092","Research methods 2","Faculty of Arts, Design and Architecture",0,0,"ADD5091",,1,"Research Methods 2 examines theory models and investigative methods in contemporary research. The candidate develops a conceptual framework of studio research and exegesis or thesis that identifies the relations between research intention and research method.",,,,,,,,,
