UnitCode,UnitName,Faculty,LocationAndTime,CreditPoints,EFTSL,Preqs,Proh,SCABand,Sypnosis
ACB1100,Introduction to financial accounting,Faculty of Business and Economics,"[[['Peninsula'], ['First semester 2017 (Day)']]]",6,0.125,,"ACB1002, AFF1121, ACF1121, AFG1002, ACG1002, AFC1030, AFW1002, ACW1002, ACC1100, ACF1100, ACP1100, ACW1100",3,"This unit provides students with an introduction to financial accounting guided by the Conceptual Framework and Accounting Standards. Emphasis is placed on accounting processes, practices and policies that enable the financial statements to be prepared. Students will integrate theoretical and technical knowledge learned and exercise judgement to explore accounting issues."
ACB1200,Accounting for managers,Faculty of Business and Economics,"[[['Peninsula'], ['First semester 2017 (Day)']]]",6,0.125,,"ACB1000, ACC1000, ACF1000, ACP1000, ACG1000, ACW1000, ACB1100, ACC1100, ACF1100, ACP1100, ACW1100, ACC1200, ACF1200, ACP1200",3,"This unit introduces basic accounting concepts to non-accountants. The information requirements of two main groups of information users are examined - external users such as current and potential investors and internal users such as managers. This unit provides an introduction to the structure, meaning, analysis and interpretation of financial statements, in addition to exploring financial issues confronting managers, such as cost and performance measurement and budgeting."
ACB2020,Cost information for decision making,Faculty of Business and Economics,"[[['Berwick'], ['First semester 2017 (Day)']]]",6,0.125,"AFW1002, ACB1002, ACC1030, ACF1121, ACG1002, ACW1002, AFC1030, AFG1002, AFF1121.","ACC2131, ACF2391, ACG2020, ACW2020, AFC2131, AFF2391, AFG2020, AFW2020",3,"Introduction to management accounting. Topics include: basic terms and concepts, classification and behaviour of costs, recording product cost transactions for manufacturing firms, joint and by-product spoilage and waste, apportioning joint costs for multiple products, activity-based costing and information for management decisions."
ACB2491,Company reporting,Faculty of Business and Economics,"[[['Berwick'], ['First semester 2017 (Day)']]]",6,0.125,AFW1000 or AFG1000 or ACB1000 and AFW1002 or AFG1002 or ACB1002 or ACC1030 or ACF1121 or ACG1002 or ACW1002 or AFC1030 or AFF1121.,"ACC2120, ACF2491, ACG2491, ACG2491, AFC2120, AFF2491, AFG2491",3,"This unit examines the current Australian reporting and regulatory framework applicable to reporting entities including an analysis of significant accounting standards, professional reporting requirements and legal and stock exchange requirements. Accounting for corporate groups and issues in financial reporting are also explored."
ACB2851,Accounting information systems and financial modelling,Faculty of Business and Economics,"[[['Berwick'], ['Second semester 2017 (Day)']]]",6,0.125,"Students must have passed one unit from the following: AFG1000, AFP1000, AFW1000 or AFW1001 (pre 2009) before undertaking this unit.","ACC2851, ACF2851, ACG2851, ACP2851, ACW2851, AFC2160, AFC2851, AFF2051, AFF2851, AFG2851, AFP2851, AFW2051, BUS1060, BUS3030",3,"The objective of this unit is two-fold. First, the unit provides students with a broad introduction to accounting information systems and the role technology plays in accounting. The focus will be on an introduction to: enterprise systems; database management; documentation methods; internal controls; and the core business processes found in organisations. Second, the unit focuses on corporate modelling theory; models as decision support tools; types and uses of models; benefits and limitations of models; effective spreadsheet design; auditing spreadsheet models and development of various models using an industry standard spreadsheet."
ACB3021,Performance measurement and control,Faculty of Business and Economics,"[[['Berwick'], ['Second semester 2017 (Day)']]]",6,0.125,"ACB2020, AFW2020, AFC2131, AFF2391, AFG2020","ACC3131, ACF3431, ACG3021, ACW3021, AFG3021, AFW3021, AFC3131, AFF3431",3,"Topics include the budget planning process including master budget preparation, budgeting standard costs and variance analysis, responsibility accounting, management by objectives and non-financial performance measurement, divisional performance, transfer pricing issues, program budgeting and other approaches, capital budgeting, strategic planning and control."
ACB3041,Auditing and assurance,Faculty of Business and Economics,"[[['Berwick'], ['Second semester 2017 (Day)']]]",6,0.125,ACB2491 or ACC2120 or ACF2491 or ACG2491 or ACW2491 or AFC2120 or AFF2491 or AFG2491 or AFW2491,"ACW3041, AFG3041, ACG3041,  AFC3160, ACC3160, AFF3631, ACF3631",3,"This unit examines the auditor's legal liabilities, audit process and evidence, the concepts of materiality and risks, study and evaluation of internal control, EDP auditing, audit sampling techniques, the test of transactions cycles and the verification of account balances, auditors reports, and internal and operational auditing."
ACB3050,Advanced financial accounting theory and issues,Faculty of Business and Economics,"[[['Berwick'], ['Second semester 2017 (Day)']]]",6,0.125,ACB2491,"AFC3120, ACC3120, AFF3491, ACF3491, AFW3050, ACW3050, ACG3050 and AFG3050",3,"Financial accounting topics covered by this unit include: Australian accounting standards, institutional setting and the conceptual framework; accounting for leases; accounting for employee benefits; accounting for financial instruments; cash flow reporting; segment reporting; accounting for EPS; accounting for extractive industries; accounting for agriculture; financial reporting in the public sector; foreign currency translation; and social and environmental reporting."
ACC1100,Introduction to financial accounting,Faculty of Business and Economics,"[[['Clayton'], ['First semester 2017 (Day)', 'Second semester 2017 (Day)']]]",6,0.125,,"ACB1002, AFF1121, ACF1121, AFG1002, ACG1002, AFC1030, AFW1002, ACW1002, ACF1100, ACP1100.",3,"This unit provides students with an introduction to financial accounting guided by the Conceptual Framework and Accounting Standards. Emphasis is placed on accounting processes, practices and policies that enable financial statements to be prepared. Students will integrate theoretical and technical knowledge learned and exercise judgement to explore accounting issues."
ACC1200,Accounting for managers,Faculty of Business and Economics,"[[['Clayton'], ['First semester 2017 (Day)', 'Second semester 2017 (Day)']]]",6,0.125,,"ACB1000, ACC1000, ACF1000, ACG1000, ACP1000, ACW1000, ACF1200, ACP1200, ACC1100, ACF1100, ACP1100 and ACW1100.",3,"This unit introduces basic accounting concepts to non-accountants. The information requirements of two main groups of information users are examined - external users such as current and potential investors and internal users such as managers. This unit provides an introduction to the structure, meaning, analysis and interpretation of financial statements, in addition to exploring financial issues confronting managers, such as cost and performance measurement and budgeting."
