UnitCode,UnitName,Faculty,LocationAndTime,CreditPoints,EFTSL,Preqs,Proh,SCABand,Sypnosis
EDF1010,Learning in a university context,Faculty of Education,"[[['Clayton'], ['First semester 2017 (Day)', 'Trimester 2 2017 (Day)']], [['Peninsula'], ['First semester 2017 (Day)']]]",6,0.125,,,1,"This unit introduces students to the requirements of university study. It provides students with a range of specific capabilities that are essential for engaged and successful undergraduate study. The unit content is arranged around the relationships between the learner, the university's requirements and the expectations of students. Students are introduced to the rigours of university learning and the ranges of scholarly traditions and practices. Emphasis is given to the importance of independent learning in university studies."
EDF1011,Knowledge and context,Faculty of Education,"[[['Clayton'], ['Second semester 2017 (Day)']], [['Peninsula'], ['Second semester 2017 (Day)']]]",6,0.125,,,1,"This unit explores different knowledge traditions to develop student's understanding of the importance and relationships between context and knowledge across discipline streams. It critically considers the different paradigms of knowledge to explore differences or similarities between the physical sciences and humanities or social sciences perspectives. Students identify, compare, contrast and discuss different disciplinary approaches to knowledge and become familiar with the relationships between knowledge and context."
EDF1012,Mathematics for tertiary study,Faculty of Education,"[[['Clayton'], ['Second semester 2017 (Day)', 'Full year 2017 (Day)']], [['Peninsula'], ['Second semester 2017 (Day)']]]",6,0.125,,,2,"This unit provides a foundation in mathematics to provide students with skills to support their future university studies. Topics covered include linear modelling, graphs of curves, financial mathematics, univariate and bivariate data, probability, matrices, and sequences and series. Students are supported to develop core concepts and skills, and to apply these to solve problems."
EDF1013,Academic writing,Faculty of Education,"[[['Clayton'], ['Term 3 2017 (Day)']]]",6,0.125,,,1,"This unit introduces students to the requirements of writing for academic purposes. It provides them with a range of composition skills that are essential for producing academic essays, reports and reviews. The unit introduces writing styles and conventions appropriate to university study and provides students with practical insights into structuring cohesive academic essays and reports. Students are introduced to the various styles and genres of structuring and composing writing for academic purposes. Emphasis is focused upon understanding the detailed requirements of written assignments, referencing, and developing the necessary form and structure appropriate to the required task."
EDF1028,Information and communication technologies across the curriculum,Faculty of Education,"[[['Peninsula'], ['First semester 2017 (Day)']]]",6,0.125,,,1,"This unit develops students' understanding of technological developments and how to utilise these in innovative ways in schools. Students explore the construction of knowledge and interaction in the digital age. They develop capabilities in understanding how information and communication technologies (ICTs) are associated with information access and management, information creation and presentation, problem solving, decision making, communication, creative expression and empirical reasoning. Students develop knowledge, skills and dispositions around ICTs and the ability to transfer these across diverse environments, applications and pedagogical contexts. They are exposed to the diversity and interconnectedness of ICTs, including mobile technology, social networking and emerging innovative and creative technologies."
EDF1029,Learners with special needs in the primary classroom,Faculty of Education,"[[['Peninsula'], ['Second semester 2017 (Day)']]]",6,0.125,,,1,"This unit prepares teachers to work inclusively with the diverse learning needs of their school students and in particular with students who have a range of abilities, disabilities and impairments. It develops students' knowledge and understanding of differentiation for all ability levels, particularly in relation to children with special needs due to disability. Students are introduced to policies, legislation and research influencing schooling and classroom practices for children with special needs. They engage with theoretical perspectives and research relating to difference and disability and consider the implications for themselves, learners and families. They investigate several common approaches to the education of children with special needs including inclusive education, differentiated instruction, universal design for learning and personalised learning. They also learn how environments, curricula and pedagogies can be designed and modified to support learners' diverse needs. Students develop an understanding of the necessity of positive relationships with children and the value of partnering constructively with families and support staff to work towards educational equity and enhancing the learning outcomes of children with special learning needs in primary classrooms."
EDF1030,English and literacy learning,Faculty of Education,"[[['Peninsula'], ['First semester 2017 (Day)']]]",6,0.125,,,1,"This unit builds students' understanding of the discipline of English and introduces them to the multifaceted, diverse worlds of children's literacy learning spanning home and communities, including early childhood settings and the first years of schooling. Engagement with contemporary research literature assists students in their exploration of English language and literacy concepts and theories, leading to their development of pedagogical practices that support children's literacy learning in multiple contexts. A strong emphasis is given to understanding the four elements of English language development required by the literate person in relation to speaking, reading, writing and listening. Students learn to appreciate the importance of respecting the impact of cultural and linguistic background on students and their literacy learning."
EDF1031,Creative learning in childhood through music and the arts,Faculty of Education,"[[['Peninsula'], ['First semester 2017 (Day)']]]",6,0.125,,,1,"This unit introduces students to teaching and learning in, about and through the arts in early childhood. Students engage with creativity theories and creative pedagogies by being immersed in music, visual art, dance, drama and multi-media. A focus of the unit is on students developing their competencies as teachers, artists and researchers in the arts. By exploring both discipline-specific concepts and knowledge and integrated curriculum approaches, students gain an understanding of how to plan and implement creative arts experiences in educational programs."
EDF1032,Thinking mathematically from an early age,Faculty of Education,"[[['Peninsula'], ['Second semester 2017 (Day)']]]",6,0.125,,,1,"This unit develops students' understanding on the ways young children's mathematical thinking develops from a very early age. It introduces conceptual frameworks for understanding children's mathematical growth and explores experiences which give young children opportunities to learn mathematics from infancy through to the early years of school. The content addresses the transition from informal to formal mathematical concepts in young children. Students critically engage with current research, practice and policy in mathematics in multiple contexts. They begin to develop pedagogical tools that enable them to successfully support children's learning of mathematics."
EDF1033,Education for environment and sustainability,Faculty of Education,"[[['Peninsula'], ['Second semester 2017 (Day)']]]",6,0.125,,,1,"In this unit students are introduced to place-based and experiential opportunities to begin developing their own practices for teaching about environment and sustainability. Students investigate how environment and sustainability concepts and practices are facilitated in early years education. They develop an appreciation for their local environments and explore how these can be integrated into teaching and learning through extensive fieldwork both on- and off-campus. They investigate and understand the cultural, social, economic, ecological and political factors that influence attitudes and action towards environment and sustainability. Students develop theoretical and pedagogical knowledge of how to develop holistic learning experiences for environment and sustainability throughout the early years of education."
EDF1038,Introduction to the early childhood education field,Faculty of Education,"[[['Peninsula'], ['First semester 2017 (Day)']]]",6,0.125,,,1,"This unit introduces students to the field of early years education through the exploration of historical and contemporary approaches to the education of young children. Foundational philosophies such as those developed by Dewey, Steiner, Montessori and Petalozzi are critically discussed in relation to their influence on contemporary approaches that inform early childhood education in local and global contexts. Students develop insights into a range of contemporary programs including but not limited to the Reggio Emilia and Forest Schools approaches. In addition students are introduced to practice guidelines and principles relevant to their specific contexts such as the professional code of ethics, curriculum frameworks and policy documents.  Understandings of daily practice are informed by the United Nations Conventions on the Rights of the Child to uphold the rights of the child and by ethical considerations for respectful, meaningful and quality education and care for children. Through critique and analysis of historical and contemporary practices, students develop their own emerging personal philosophy of early years education."
