UnitCode,UnitName,Faculty,LocationAndTime,CreditPoints,EFTSL,Preqs,Proh,SCABand,Sypnosis
CEM6881,Scanning electron microscopy,Faculty of Engineering,"[[['Clayton'], ['First semester 2017 (Day)', 'Second semester 2017 (Day)']]]",0,0.000," This course is only available to those students whose research project requires training for independent operation of the scanning electron microscope (SEM) within the Monash Centre for Electron Microscopy (MCEM). This requirement will be determined by MCEM staff during a new user interview, which also must be attended with their research supervisor(s) before enrolment. Students should refer to the access section of the MCEM website to arrange a new user interviewStudents must also attend a MCEM new user induction and sign the MCEM Safety Induction Checklist and User Agreement.",,2,"The scanning electron microscope (SEM) is an instrument that provides the unique ability to characterise the surface of materials at micrometre and nanometre scales. This course is designed to offer both theoretical and practical training in operating a SEM, for those who need the technique for their research. The emphasis is to arm students with the skills necessary to both effectively operate the instrument AND make meaningful conclusions regarding the results generated."
CEM6882,Transmission electron microscopy,Faculty of Engineering,"[[['Clayton'], ['First semester 2017 (Day)', 'Second semester 2017 (Day)']]]",0,0.000," This course is only available to those students whose research project requires training for independent operation of the transmission electron microscope (TEM) within the Monash Centre for Electron Microscopy (MCEM). This requirement will be determined by MCEM staff during a new user interview, which also must be attended with their research supervisor(s) before enrolment. Students should refer to the access section of the MCEM website to arrange a new user interview.Students must also attend a MCEM new user induction and sign the MCEM Safety Induction Checklist and User Agreement.",,2,"The transmission electron microscope (TEM) provides the unique ability to characterise materials at the nanometre and atomic length scales. This course is designed to offer both theoretical and practical training in operating a TEM, for those who need the technique for their research. The emphasis is to arm students with the skills necessary to both effectively operate the instrument and make meaningful conclusions regarding the results generated."
CHE2161,Mechanics of fluids,Faculty of Engineering,"[[['Clayton'], ['First semester 2017 (Day)', 'Second semester 2017 (Day)']], [['Malaysia'], ['First semester 2017 (Day)', 'Second semester 2017 (Day)']]]",6,0.125,24 credit points,"MAE2404, MEC2404",2," This unit develops the students' physical understanding of fluid statics and fluid flow and the interaction of fluid forces with solids.Topics include hydrostatics, Reynolds transport theorem, continuity and momentum equations, control volume analysis, the Bernoulli equation, viscous pipe flow, pumps, dimensional analysis, boundary layers, flow measurement techniques and applications of fluid forces in flow - lift and drag."
CHE2162,Material and energy balances,Faculty of Engineering,"[[['Clayton'], ['Second semester 2017 (Day)']], [['Malaysia'], ['Second semester 2017 (Day)']]]",6,0.125,,"CHE2113, CHE2140",2,"This unit will introduce students to the fundamentals of material and energy balances through a systematic treatment of:  single and multiple unit operations, reactive and non-reactive processes, recycle and by-pass, extent of reactions, equations of state, vapour-liquid phase equilibrium, solid-liquid phase equilibrium, internal energy and enthalpy changes for process fluids undergoing specified changes in temperature, pressure, phase, reactions and chemical compositions and computer aided simulation of process flow diagrams. A process simulation software will be used to aid in the solution of more complex systems."
CHE2163,Heat and mass transfer,Faculty of Engineering,"[[['Clayton'], ['Second semester 2017 (Day)']], [['Malaysia'], ['Second semester 2017 (Day)']]]",6,0.125,,,2,"Introduce fundamentals and applications of heat and mass transfer. Develop an understanding of the mechanisms and mathematical representation of conduction, convection and radiation heat transfer and convective mass transfer. Gain an appreciation for the analogies between heat and mass transfer using dimensional analysis. Understand and apply concepts of local and overall heat and mass transfer coefficients including boiling heat transfer to simple problems. Calculation of overall heat transfer coefficient and heat transfer area using Log Mean Temperature Difference (LMTD) and Number of Transfer Unit (NTU) method. Gain an understanding of molecular diffusion in gases, solids, and liquids and develop methods to use these concepts in problem solving. Perform experiments to illustrate the concepts of heat and mass transfer."
CHE2164,Thermodynamics I,Faculty of Engineering,"[[['Clayton'], ['First semester 2017 (Day)', 'Second semester 2017 (Day)']], [['Malaysia'], ['First semester 2017 (Day)']]]",6,0.125,,,2,"Introduce fundamentals and applications of classical thermodynamics. Understand the concepts of heat, work, energy, and entropy, the First and Second Laws of Thermodynamics and their application. Introduction to the Carnot cycle and the concept of irreversibility. Understand the use of property diagrams in solving heat engine and heat pump cycles. Understand the operation and analysis of the Brayton, Otto, Diesel and Rankine cycles. Introduction to the analysis of refrigeration and heat pump cycles. Perform experiments to illustrate the concepts of Thermodynamics. Simple combustion processes. Renewable energy and its use in heating and electricity generation and environmental benefits."
CHE2166,Introduction to process simulation,Faculty of Engineering,"[[['Clayton'], ['Second semester 2017 (Day)']], [['Malaysia'], ['Second semester 2017 (Day)']]]",6,0.125,ENG1002 or ENG1010,none,2,"This unit will introduce the role and use of simulation tools in process design and develop knowledge of process simulation methods and approaches that can be used in a variety of chemical engineering design problems in a wide range of industries. The unit will also introduce concepts associated to utility systems, electricity generation and principles of sustainability including environmental, economic and social impact. The students will develop knowledge and skills through open-ended projects."
CHE2167,Process material selection,Faculty of Engineering,"[[['Clayton'], ['First semester 2017 (Day)']], [['Malaysia'], ['First semester 2017 (Day)']]]",6,0.125,None,None,2," This unit introduces the basic concepts of materials properties and their selection for use in both the natural environment where they will be installed and the operating and process environment.The underlying philosophy of this unit will be used to compare different material selection options. The unit will include a fundamental understanding of static stress loading. It will include material degradation processes which may limit material life such as corrosion, embrittlement processes and oxidation processes. Through open-ended problems students will develop technical knowledge and professional skills."
CHE2871,Biochemistry for engineers,Faculty of Engineering,"[[['Malaysia'], ['First semester 2017 (Day)']]]",6,0.125,,"BTH2741, BCH2011",2,"This unit focuses on the study of living cells and biological molecules with a emphasis on their applications in chemical and pharmaceutical industries.  Topics to be covered include cell biology and structure, fundamental biochemistry of proteins and enzymes, metabolic pathways and biosynthesis of metabolites, molecular biology including central dogma, genetic code, protein synthesis and practical examples of industrial applications."
CHE3161,Chemistry and chemical thermodynamics,Faculty of Engineering,"[[['Clayton'], ['First semester 2017 (Day)']], [['Malaysia'], ['First semester 2017 (Day)']]]",6,0.125,CHE2164,,2,"This unit covers thermodynamics from a chemical engineering viewpoint. Content will cover basic concepts and the use of: thermodynamic functions such as free energy, enthalpy, and entropy; estimation of properties of pure compounds and mixtures; description of solution thermodynamics and its applications, equilibrium phase diagrams and chemical reaction equilibria."
