UnitCode,UnitName,Faculty,LocationAndTime,CreditPoints,EFTSL,Preqs,Proh,SCABand,Sypnosis
PAC1001,Introduction to Pharmacy,Faculty of Pharmacy and Pharmaceutical Sciences,"[[['Parkville'], ['Summer semester B (starts January) 2017 (Day)']]]",12,0.250,A completed relevant undergraduate degree with a distinction average.,,2," This unit aims to provide a foundation of knowledge and skills required for the practice of pharmacy and delivery of pharmacy services by introducing a range of relevant topics and developing student skills including communication and problem solving, medication dispensing, patient counselling and performing pharmaceutical calculations.This unit introduces the management of cardiovascular diseases by relating pathophysiology with rational design and clinical use of drugs, use and interpretation of laboratory tests for diagnosis and therapeutic drug monitoring and issues related to management of paediatric and geriatric patients. In addition, students will develop abilities in applying population-based evidence to improve clinical decision making, performing and interpreting statistical tests relevant to evidence-based practice and applying health economic principles to medicines use. This unit also builds upon fundamental concepts of drug delivery with a major focus on oral drug absorption pharmacokinetics and formulation principles of solid dosage forms such as tablets and capsules."
PAC2151,Biochemistry and molecular biology,Faculty of Pharmacy and Pharmaceutical Sciences,"[[['Malaysia'], ['First semester 2017 (Day)']], [['Parkville'], ['First semester 2017 (Day)']]]",6,0.125, PAC1142 Chemistry of biomoleculesPAC1111 Introduction to physiologyPAC1132 Systems physiology,,2,"To introduce 2nd year pharmacy students to essential elements of biochemistry and molecular biology. In the process, students will develop their abilities to integrate biochemical information as it relates to both desired and unwanted effects of therapeutics, and appreciate the underlying foundation of biochemistry and molecular biology in the treatment of individual diseases and pathological conditions.The specific topics that will be addressed are as follows: structure and molecular properties of proteins, sugars and complex carbohydrates, lipids and membranes, and nucleotides and coenzymes information transfer (gene structure and regulation); protein synthesis and its use in molecular biology metabolism; catabolic pathways, synthetic pathways, energy production, control of metabolism"
PAC2161,"Cell function, communication and pathology",Faculty of Pharmacy and Pharmaceutical Sciences,"[[['Malaysia'], ['First semester 2017 (Day)']], [['Parkville'], ['First semester 2017 (Day)']]]",6,0.125,"PAC1111, PAC1132",,2," This unit will provide a foundation of fundamental aspects of cell biology, cell physiology and ways that cells communicate with each other in the human body. This unit will relate the pathophysiology of various diseases and disorders with the use of specific drug classes.This will involve: introduction to Cell Biology cell biology & signalling stem cells and development cell pathophysiology (cancer) pharmacology autocoids inflammatory responses endocrinology."
PAC2171,Basis of drug action I,Faculty of Pharmacy and Pharmaceutical Sciences,"[[['Malaysia'], ['First semester 2017 (Day)']], [['Parkville'], ['First semester 2017 (Day)']]]",6,0.125, PAC1121 Bioorganic and medicinal chemistry IPAC1142 Bioorganic and medicinal chemistry II,,2,"This unit aims to equip students with a foundation of knowledge about the molecular structure of drugs, together with an understanding of the fundamental relationship that exists between the molecular structure of drugs and their pharmacokinetic and pharmacodynamic properties. It also seeks to provide students with an appreciation of the drug design process and the methods used to synthesise and establish the structure of drug molecules. The subject provides a firm foundation for the subsequent Basis of Drug Action II unit, as well as the ""Integrated Therapeutics"" 3rd year subjects, which focus on describing the major classes of drugs and how they function."
PAC2182,Basis of drug action II,Faculty of Pharmacy and Pharmaceutical Sciences,"[[['Malaysia'], ['Second semester 2017 (Day)']], [['Parkville'], ['Second semester 2017 (Day)']]]",6,0.125,,,2,"This unit builds on the previous unit ""Chemical Properties of Drug Molecules"" to provide students with an understanding of the basis of drug action - efficacy. The consequences of drug binding to cell-surface receptors and enzymes will be considered at a structural level.This will involve: drug targets receptor activation  - efficacy and affinity chemistry of drug-receptor interactions newer / emerging drug classes - particularly ""biologicals"" - protein therapeutics pharmacology in action - practical application of principles of affinity, efficacy and potency."
PAC2232,Drug delivery and disposition,Faculty of Pharmacy and Pharmaceutical Sciences,"[[['Malaysia'], ['Second semester 2017 (Day)']], [['Parkville'], ['Second semester 2017 (Day)']]]",6,0.125, PAC1222 Drug delivery IPAC1132 Systems physiology,,2,"This unit builds upon the fundamental concepts of drug delivery with a major focus on oral drug absorption and pharmacokinetics.Specifically, the unit aims to: provide an understanding of theoretical concepts and formulation principles of pharmaceutical dosage forms such as tablets, capsules, emulsions, creams, and lotions; and introduce students to fundamental concepts in pharmacokinetics and biopharmaceutics and their impact on drug disposition."
PAC2331,Pharmacists as communicators,Faculty of Pharmacy and Pharmaceutical Sciences,"[[['Malaysia'], ['First semester 2017 (Day)']], [['Parkville'], ['First semester 2017 (Day)']]]",6,0.125," PAC1311 Pharmacy, health and society IPAC1322 Pharmacy, health and society II",,2,"This unit aims to provide students with fundamental knowledge, skills and resources to interact with patients and other health care professionals to effect positive therapeutic outcomes. The unit focuses on definition, development and refinement of communication skills for pharmacists in all aspects of professional practice. This professional practice is defined in terms of the expectations and structure of the Australian Health Care System and in context of global approaches to health.Students will develop an understanding of: effective communication with patients and prescribers; health literacy; the problems of medication non-adherence and means of overcoming them; the role of the pharmacist in patient education.Students will develop abilities in: the areas of accessing information; written and oral communication (including effective communication in special settings); patient counselling; problem-solving in clinically- oriented situations; and creating, maintaining and utilising individual patient records.Students will develop an appreciation of concepts in systematic care of patients."
PAC2342,Pharmacy in a public health context,Faculty of Pharmacy and Pharmaceutical Sciences,"[[['Malaysia'], ['Second semester 2017 (Day)']], [['Parkville'], ['Second semester 2017 (Day)']]]",6,0.125," PAC1311 Pharmacy, Health and Society IPAC1322 Pharmacy, Health and Society II",,2,"This unit puts the practice of pharmacy and delivery of pharmacy services in a public health context. It emphasises a population perspective for health policy as well as clinical decision-making.Students will develop an understanding of:  Definitions and issues in public health including the socio-environmental determinants of health The role of pharmacy in a public health context The Australian National Medicines Policy and the Quality Use of Medicines Strategy The nature, role and development of health policy.Students will develop abilities in: Applying population-based evidence to improve clinical decision-making Performing and interpreting the results of statistical tests that are relevant to evidence based practice Applying health economic principles to medicines use Dispensing, including clinical problem-solving Performing pharmaceutical calculations building on previous knowledge.Students will develop an appreciation of: The roles of other health professionals and their relationship to pharmacy Key issues around medicines promotion and international health."
PAC2412,Integrated therapeutics: Introduction and cardiovascular,Faculty of Pharmacy and Pharmaceutical Sciences,"[[['Malaysia'], ['Second semester 2017 (Day)']], [['Parkville'], ['Second semester 2017 (Day)']]]",6,0.125,,,2,"This unit provides an introduction to disease state management. It will cover concepts that span the range of diseases such as issues related to the management of paediatric and geriatric patients and the use and interpretation of laboratory tests for diagnosis and monitoring.This unit provides a foundation of basic knowledge required for the diagnosis and management of patients with cardiovascular diseases. It will relate the pathophysiology of these disorders with the rational design and clinical use of drugs. The chemistry, pharmacology and clinical aspects of medications associated with each area are presented in detail in an integrated fashion.This will involve: introduction to disease state management epidemiology and pathophysiology of cardiovascular disease chemistry of drugs used in cardiovascular disease pharmacology of drugs used in cardiovascular disease cardiovascular disease state management."
PAC3191,Microbiology and immunology,Faculty of Pharmacy and Pharmaceutical Sciences,"[[['Malaysia'], ['First semester 2017 (Day)']], [['Parkville'], ['First semester 2017 (Day)']]]",6,0.125,PAC2151 Biochemistry and molecular biology,,2,"To introduce 3rd year pharmacy students to essential elements of microbiology and immunology. In the process, students will develop their abilities to integrate microbiological and immunological concepts and apply these to a limited number of applications contained within the unit and as a basis for later work in other subjects within the pharmaceutical sciences.This will involve the study of: bacteria (general principles and microbial genetics) eukaryotic microbes virology epidemiology immunology microbiological diseases (diseases and host responses)."
PAC3241,"Drug delivery, disposition and dynamics",Faculty of Pharmacy and Pharmaceutical Sciences,"[[['Malaysia'], ['First semester 2017 (Day)']], [['Parkville'], ['First semester 2017 (Day)']]]",6,0.125,PAC2232 Drug delivery and disposition,,2,"The overall aim of this unit is to build upon the key concepts of oral and intravenous pharmacokinetics and introduce new concepts associated with clinical pharmacokinetics, drug metabolism and disposition, and therapeutic drug monitoring and how these may impact on patient therapeutic dosage regimens in various disease states, conditions and with concomitant medication. Additionally, this unit will provide an understanding of theoretical concepts and formulation principles of semi-solids, aerosols, sprays and foams, and modified release products.This will involve the study of: effect of drug metabolism and drug transporters on pharmacokinetics pharmacokinetics in preganancy, paediatrics and geriatrics hepatic and renal clearance and plasma protein building impact of hepatic/ renal diseases, haemodialysis/peritoneal dialysis on drug therapy drug-drug interactions pharmacokinetic-pharmacodynamic relationship pharmacokinetic dose individualisation therapeutic drug monitoring formulation principles of semi-solids and aerosol systems modified release dosage form design"
PAC3252,Drug delivery II,Faculty of Pharmacy and Pharmaceutical Sciences,"[[['Malaysia'], ['Second semester 2017 (Day)']], [['Parkville'], ['Second semester 2017 (Day)']]]",6,0.125,PAC2232,,2,"This unit aims to equip students with fundamental and applied knowledge required to understand and assess pharmaceutical pre-formulation, formulation, sterilization and packaging of parenteral products, with special emphasis on drug product stability, including the kinetics and mechanisms of drug degradation and functional group reactivity. The unit is also designed to provide students with an understanding of aseptic processing, disinfection and preservation.This will involve the study of: preformulation/formulation/ containers and closures drug stability contamination control and sterilisation biotechnology products"
PAC3351,Context for practice I,Faculty of Pharmacy and Pharmaceutical Sciences,"[[['Malaysia'], ['First semester 2017 (Day)']], [['Parkville'], ['First semester 2017 (Day)']]]",6,0.125, PAC2331 Pharmacists as communicatorsPAC2342 Pharmacy in a public health context,,2,"This unit builds on the knowledge and understanding of a range of topics which are relevant to the practice of pharmacy.Students will be introduced to the concepts underlying pharmacy management, harm reduction, pharmacy legislation, management of poisoning and overdose, the principles of medication safety and accurate dispensing under time pressure.Students will submit assignments, participate in tutorials and practicals, and undertake some self-directed learning, all of which will enhance their learning experience.This will involve the study of: pharmacy management pharmacy legislation medication safety harm reduction poisoning and overdose accurate dispensing"
PAC3362,Context for practice II,Faculty of Pharmacy and Pharmaceutical Sciences,"[[['Malaysia'], ['Second semester 2017 (Day)']], [['Parkville'], ['Second semester 2017 (Day)']]]",6,0.125, PAC2331 Pharmacists as communicatorsPAC2342 Pharmacy in a public health context,,2,"In this unit students will acquire or further develop knowledge relating to the: Ethical principles in relation to the practice of pharmacy.In this unit students will develop an appreciation of: The competency standards for the practice of pharmacy in Australia The Australian healthcare system Alternative therapies available in Australia The practice of pharmacy in hospital and rural settings Drug information services.In this unit students will develop an understanding of; Aged care services The principles of multiple-medication management and the skills for performing multiple medication management reviews.In this unit students will further develop abilities in: Performing pharmaceutical calculations Dispensing multiple prescriptions with 100% accuracy in different settings using commercial dispensing programs Providing reliable drug information to health professionals and consumers and Undertaking comprehensive medication reviews in different practice settings.This will involve the study of: ethics in Pharmacy Practice competency and standards the Australian healthcare system aged care services multiple medication management hospital practice drug information services IV lines rural practice alternative therapiesAs part of this unit students will submit assignments, participate in tutorials, attend practicals, and undertake some self-directed learning, all of which will enhance their learning experience."
